pergunta|resposta|tags
Como se diz "bom dia" em inglês?|Good morning|Saudações
Como se diz "boa noite" em inglês?|Good night|Saudações
Qual é a capital da França?|Paris|Geografia
Qual é a capital da Espanha?|Madrid|Geografia
Qual é a capital da Itália?|Roma|Geografia
3 + 5 = ?|8|Matemática Básica
10 - 4 = ?|6|Matemática Básica
7 × 6 = ?|42|Matemática Básica
100 ÷ 5 = ?|20|Matemática Básica
Qual é a cor do céu?|Azul|Ciências Naturais
Quantos dias tem uma semana?|7|Calendário
Quantos meses tem um ano?|12|Calendário
Qual é o maior planeta do sistema solar?|Júpiter|Astronomia
Como se chama o estudo das plantas?|Botânica|Ciências
Como se chama o estudo dos animais?|Zoologia|Ciências
